Uni,Caseload,Uni_Rate,Labour_Market_Region,Education_level,Year
1,9,1.97,BALLARAT,EDU_LVL_YR_10_13,2011
1,5,6.98,SOUTH GIPPSLAND,EDU_LVL_YR_10_13,2011
1,10,6.16,BASS COAST,EDU_LVL_YR_10_13,2011
1,8,14.48,MURRINDINDI,EDU_LVL_YR_10_13,2011
1,3,23.58,MANSFIELD,EDU_LVL_YR_10_13,2011
1,6,14.37,BENALLA,EDU_LVL_YR_10_13,2011
1,4,3.65,GREATER BENDIGO,EDU_LVL_YR_10_13,2011
1,5,1.14,BOROONDARA,EDU_LVL_YR_10_13,2011
1,9,4.45,BRIMBANK,EDU_LVL_YR_10_13,2011
1,6,6.49,CARDINIA,EDU_LVL_YR_10_13,2011
1,4,1.33,CASEY,EDU_LVL_YR_10_13,2011
1,2,26.54,LODDON,EDU_LVL_YR_10_13,2011
1,4,2.63,DAREBIN,EDU_LVL_YR_10_13,2011
1,2,4.47,EAST GIPPSLAND,EDU_LVL_YR_10_13,2011
1,23,1.45,FRANKSTON,EDU_LVL_YR_10_13,2011
1,4,1.72,GREATER GEELONG,EDU_LVL_YR_10_13,2011
1,2,1.37,GLEN EIRA,EDU_LVL_YR_10_13,2011
1,2,1.98,BAYSIDE,EDU_LVL_YR_10_13,2011
1,7,4.46,GREATER DANDENONG,EDU_LVL_YR_10_13,2011
1,11,3.1,GREATER SHEPPARTON,EDU_LVL_YR_10_13,2011
1,3,2.18,HOBSONS BAY,EDU_LVL_YR_10_13,2011
1,4,34.61,HINDMARSH,EDU_LVL_YR_10_13,2011
1,6,3.02,HUME,EDU_LVL_YR_10_13,2011
1,2,1.28,KINGSTON,EDU_LVL_YR_10_13,2011
1,2,1.28,KINGSTON,EDU_LVL_YR_10_13,2011
1,2,1.26,KNOX,EDU_LVL_YR_10_13,2011
1,2,2.7,LATROBE,EDU_LVL_YR_10_13,2011
1,2,2.7,LATROBE,EDU_LVL_YR_10_13,2011
1,2,10.69,MOUNT ALEXANDER,EDU_LVL_YR_10_13,2011
1,2,4.31,MACEDON RANGES,EDU_LVL_YR_10_13,2011
1,2,1.65,MANNINGHAM,EDU_LVL_YR_10_13,2011
1,2,2.35,MARIBYRNONG,EDU_LVL_YR_10_13,2011
1,2,1.77,MAROONDAH,EDU_LVL_YR_10_13,2011
1,7,5.05,MELBOURNE,EDU_LVL_YR_10_13,2011
1,6,4.43,MELTON,EDU_LVL_YR_10_13,2011
1,2,7.69,MILDURA,EDU_LVL_YR_10_13,2011
1,2,4.98,MITCHELL,EDU_LVL_YR_10_13,2011
1,2,1.06,MONASH,EDU_LVL_YR_10_13,2011
1,4,3.32,MOONEE VALLEY,EDU_LVL_YR_10_13,2011
1,2,6.3,MOORABOOL,EDU_LVL_YR_10_13,2011
1,2,1.19,MORELAND,EDU_LVL_YR_10_13,2011
1,7,4.42,MORNINGTON PENINSULA,EDU_LVL_YR_10_13,2011
1,2,3.13,NILLUMBIK,EDU_LVL_YR_10_13,2011
1,2,1.88,PORT PHILLIP,EDU_LVL_YR_10_13,2011
1,2,10.14,GLENELG,EDU_LVL_YR_10_13,2011
1,2,1.84,STONNINGTON,EDU_LVL_YR_10_13,2011
1,3,9.41,COLAC OTWAY,EDU_LVL_YR_10_13,2011
1,9,31.9,BULOKE,EDU_LVL_YR_10_13,2011
1,11,4.63,WELLINGTON,EDU_LVL_YR_10_13,2011
1,2,4.63,WELLINGTON,EDU_LVL_YR_10_13,2011
1,2,1.01,WHITTLESEA,EDU_LVL_YR_10_13,2011
1,8,5.12,WODONGA,EDU_LVL_YR_10_13,2011
1,2,12.63,INDIGO,EDU_LVL_YR_10_13,2011
1,12,5.58,WYNDHAM,EDU_LVL_YR_10_13,2011
1,4,2.6,YARRA RANGES,EDU_LVL_YR_10_13,2011
1,2,27.39,PYRENEES,EDU_LVL_YR_10_13,2012
1,2,1.93,BALLARAT,EDU_LVL_YR_10_13,2012
1,2,1.57,BANYULE,EDU_LVL_YR_10_13,2012
1,2,6.91,SOUTH GIPPSLAND,EDU_LVL_YR_10_13,2012
1,2,4.08,BAW BAW,EDU_LVL_YR_10_13,2012
1,6,5.37,GREATER BENDIGO,EDU_LVL_YR_10_13,2012
1,2,1.13,BOROONDARA,EDU_LVL_YR_10_13,2012
1,9,4.37,BRIMBANK,EDU_LVL_YR_10_13,2012
1,2,5.34,CAMPASPE,EDU_LVL_YR_10_13,2012
1,2,2.05,CARDINIA,EDU_LVL_YR_10_13,2012
1,9,2.87,CASEY,EDU_LVL_YR_10_13,2012
1,2,1.29,DAREBIN,EDU_LVL_YR_10_13,2012
1,2,4.4,EAST GIPPSLAND,EDU_LVL_YR_10_13,2012
1,6,4.3,FRANKSTON,EDU_LVL_YR_10_13,2012
1,8,3.35,GREATER GEELONG,EDU_LVL_YR_10_13,2012
1,2,1.34,GLEN EIRA,EDU_LVL_YR_10_13,2012
1,2,1.95,BAYSIDE,EDU_LVL_YR_10_13,2012
1,2,1.24,GREATER DANDENONG,EDU_LVL_YR_10_13,2012
1,2,3.07,GREATER SHEPPARTON,EDU_LVL_YR_10_13,2012
1,2,2.14,HOBSONS BAY,EDU_LVL_YR_10_13,2012
1,2,10.09,HORSHAM,EDU_LVL_YR_10_13,2012
1,13,6.26,HUME,EDU_LVL_YR_10_13,2012
1,2,1.26,KINGSTON,EDU_LVL_YR_10_13,2012
1,2,1.26,KINGSTON,EDU_LVL_YR_10_13,2012
1,2,1.24,KNOX,EDU_LVL_YR_10_13,2012
1,4,5.38,LATROBE,EDU_LVL_YR_10_13,2012
1,4,5.38,LATROBE,EDU_LVL_YR_10_13,2012
1,2,1.63,MANNINGHAM,EDU_LVL_YR_10_13,2012
1,2,2.29,MARIBYRNONG,EDU_LVL_YR_10_13,2012
1,6,4.05,MELBOURNE,EDU_LVL_YR_10_13,2012
1,4,2.82,MELTON,EDU_LVL_YR_10_13,2012
1,5,6.16,MILDURA,EDU_LVL_YR_10_13,2012
1,2,19.36,STRATHBOGIE,EDU_LVL_YR_10_13,2012
1,2,1.04,MONASH,EDU_LVL_YR_10_13,2012
1,2,1.63,MOONEE VALLEY,EDU_LVL_YR_10_13,2012
1,2,6.12,MOORABOOL,EDU_LVL_YR_10_13,2012
1,2,9.12,GOLDEN PLAINS,EDU_LVL_YR_10_13,2012
1,8,4.65,MORELAND,EDU_LVL_YR_10_13,2012
1,4,2.49,MORNINGTON PENINSULA,EDU_LVL_YR_10_13,2012
1,2,3.11,NILLUMBIK,EDU_LVL_YR_10_13,2012
1,2,29.68,YARRIAMBIACK,EDU_LVL_YR_10_13,2012
1,5,4.61,PORT PHILLIP,EDU_LVL_YR_10_13,2012
1,2,12.45,SOUTHERN GRAMPIANS,EDU_LVL_YR_10_13,2012
1,2,10.14,GLENELG,EDU_LVL_YR_10_13,2012
1,5,4.48,STONNINGTON,EDU_LVL_YR_10_13,2012
1,2,9.36,COLAC OTWAY,EDU_LVL_YR_10_13,2012
1,4,14.01,WANGARATTA,EDU_LVL_YR_10_13,2012
1,2,6.82,MOIRA,EDU_LVL_YR_10_13,2012
1,2,11.98,MOYNE,EDU_LVL_YR_10_13,2012
1,2,4.6,WELLINGTON,EDU_LVL_YR_10_13,2012
1,2,4.6,WELLINGTON,EDU_LVL_YR_10_13,2012
1,4,2.35,WHITEHORSE,EDU_LVL_YR_10_13,2012
1,8,3.85,WHITTLESEA,EDU_LVL_YR_10_13,2012
1,2,12.47,INDIGO,EDU_LVL_YR_10_13,2012
1,5,2.19,WYNDHAM,EDU_LVL_YR_10_13,2012
1,5,5.35,YARRA,EDU_LVL_YR_10_13,2012
1,5,3.22,YARRA RANGES,EDU_LVL_YR_10_13,2012
1,4,3.8,BALLARAT,EDU_LVL_YR_10_13,2013
1,2,1.55,BANYULE,EDU_LVL_YR_10_13,2013
1,2,6.87,SOUTH GIPPSLAND,EDU_LVL_YR_10_13,2013
1,2,5.84,BASS COAST,EDU_LVL_YR_10_13,2013
1,2,14.12,MURRINDINDI,EDU_LVL_YR_10_13,2013
1,2,22.92,MANSFIELD,EDU_LVL_YR_10_13,2013
1,2,14.33,BENALLA,EDU_LVL_YR_10_13,2013
1,4,3.52,GREATER BENDIGO,EDU_LVL_YR_10_13,2013
1,2,1.11,BOROONDARA,EDU_LVL_YR_10_13,2013
1,10,4.8,BRIMBANK,EDU_LVL_YR_10_13,2013
1,2,5.34,CAMPASPE,EDU_LVL_YR_10_13,2013
1,4,3.9,CARDINIA,EDU_LVL_YR_10_13,2013
1,9,2.75,CASEY,EDU_LVL_YR_10_13,2013
1,5,3.15,DAREBIN,EDU_LVL_YR_10_13,2013
1,2,4.35,EAST GIPPSLAND,EDU_LVL_YR_10_13,2013
1,4,2.84,FRANKSTON,EDU_LVL_YR_10_13,2013
1,7,2.86,GREATER GEELONG,EDU_LVL_YR_10_13,2013
1,2,1.32,GLEN EIRA,EDU_LVL_YR_10_13,2013
1,2,1.92,BAYSIDE,EDU_LVL_YR_10_13,2013
1,9,5.48,GREATER DANDENONG,EDU_LVL_YR_10_13,2013
1,4,6.1,GREATER SHEPPARTON,EDU_LVL_YR_10_13,2013
1,2,2.11,HOBSONS BAY,EDU_LVL_YR_10_13,2013
1,2,10.08,HORSHAM,EDU_LVL_YR_10_13,2013
1,6,2.78,HUME,EDU_LVL_YR_10_13,2013
1,7,4.35,KINGSTON,EDU_LVL_YR_10_13,2013
1,7,4.35,KINGSTON,EDU_LVL_YR_10_13,2013
1,2,1.23,KNOX,EDU_LVL_YR_10_13,2013
1,4,5.36,LATROBE,EDU_LVL_YR_10_13,2013
1,4,5.36,LATROBE,EDU_LVL_YR_10_13,2013
1,2,10.43,MOUNT ALEXANDER,EDU_LVL_YR_10_13,2013
1,2,4.13,MACEDON RANGES,EDU_LVL_YR_10_13,2013
1,4,3.21,MANNINGHAM,EDU_LVL_YR_10_13,2013
1,4,4.46,MARIBYRNONG,EDU_LVL_YR_10_13,2013
1,9,5.63,MELBOURNE,EDU_LVL_YR_10_13,2013
1,2,1.34,MELTON,EDU_LVL_YR_10_13,2013
1,2,8.63,MILDURA,EDU_LVL_YR_10_13,2013
1,2,1.02,MONASH,EDU_LVL_YR_10_13,2013
1,2,1.59,MOONEE VALLEY,EDU_LVL_YR_10_13,2013
1,4,11.97,MOORABOOL,EDU_LVL_YR_10_13,2013
1,2,12.76,HEPBURN,EDU_LVL_YR_10_13,2013
1,2,8.9,GOLDEN PLAINS,EDU_LVL_YR_10_13,2013
1,8,4.53,MORELAND,EDU_LVL_YR_10_13,2013
1,5,3.06,MORNINGTON PENINSULA,EDU_LVL_YR_10_13,2013
1,2,3.09,NILLUMBIK,EDU_LVL_YR_10_13,2013
1,2,12.46,SOUTHERN GRAMPIANS,EDU_LVL_YR_10_13,2013
1,2,1.75,STONNINGTON,EDU_LVL_YR_10_13,2013
1,2,9.33,COLAC OTWAY,EDU_LVL_YR_10_13,2013
1,2,19.59,SWAN HILL,EDU_LVL_YR_10_13,2013
1,2,18.93,GANNAWARRA,EDU_LVL_YR_10_13,2013
1,5,17.35,WANGARATTA,EDU_LVL_YR_10_13,2013
1,2,6.79,MOIRA,EDU_LVL_YR_10_13,2013
1,2,15.98,ALPINE,EDU_LVL_YR_10_13,2013
1,2,11.95,MOYNE,EDU_LVL_YR_10_13,2013
1,2,4.57,WELLINGTON,EDU_LVL_YR_10_13,2013
1,2,4.57,WELLINGTON,EDU_LVL_YR_10_13,2013
1,5,2.88,WHITEHORSE,EDU_LVL_YR_10_13,2013
1,2,0.92,WHITTLESEA,EDU_LVL_YR_10_13,2013
1,2,4.93,WODONGA,EDU_LVL_YR_10_13,2013
1,2,12.33,INDIGO,EDU_LVL_YR_10_13,2013
1,5,2.07,WYNDHAM,EDU_LVL_YR_10_13,2013
1,2,2.08,YARRA,EDU_LVL_YR_10_13,2013
1,2,1.27,YARRA RANGES,EDU_LVL_YR_10_13,2013
1,2,27.07,PYRENEES,EDU_LVL_YR_10_13,2014
1,2,1.86,BALLARAT,EDU_LVL_YR_10_13,2014
1,2,1.53,BANYULE,EDU_LVL_YR_10_13,2014
1,2,5.71,BASS COAST,EDU_LVL_YR_10_13,2014
1,2,3.86,BAW BAW,EDU_LVL_YR_10_13,2014
1,2,13.97,MURRINDINDI,EDU_LVL_YR_10_13,2014
1,2,22.52,MANSFIELD,EDU_LVL_YR_10_13,2014
1,2,14.31,BENALLA,EDU_LVL_YR_10_13,2014
1,2,1.73,GREATER BENDIGO,EDU_LVL_YR_10_13,2014
1,2,1.1,BOROONDARA,EDU_LVL_YR_10_13,2014
1,13,6.18,BRIMBANK,EDU_LVL_YR_10_13,2014
1,2,5.33,CAMPASPE,EDU_LVL_YR_10_13,2014
1,2,1.85,CARDINIA,EDU_LVL_YR_10_13,2014
1,7,2.05,CASEY,EDU_LVL_YR_10_13,2014
